phase,temp,beta,volume,system,spinodal,efac,lnz_0,edge_distance,ntot,betaOmega,PE,dw,dens,pres,pe_n,size,lnz_0_stderr,edge_distance_stderr,ntot_stderr,betaOmega_stderr,PE_stderr,dw_stderr,dens_stderr,pres_stderr,pe_n_stderr,size_stderr
0,0.7,1.4285714285714286,512.0,lj-n12m6,0,1.0,-4.135956146351562,473.25,15.156709224189084,-10.478345077020709,-6.970741880577411,2.1797289829687583,0.029602947703494305,0.2213883046634425,-0.44592294052268594,4,-4.135956146351562,473.25,15.156709224189084,-10.478345077020709,-6.970741880577411,2.1797289829687583,0.029602947703494305,0.2213883046634425,-0.44592294052268594,4
0,0.7,1.4285714285714286,512.0,lj-n12m6,1,1.0,-7.980972169115942,486.0,0.17552232912643062,-0.17492763488050664,-0.0008377806031181021,709.4010115041306,0.0003428170490750598,4.19777294558431e-05,-0.0047730704508574685,4,-7.980972169115942,486.0,0.17552232912643062,-0.17492763488050664,-0.0008377806031181021,709.4010115041306,0.0003428170490750598,4.19777294558431e-05,-0.0047730704508574685,4
0,0.701,1.4265335235378032,512.0,lj-n12m6,0,1.0,-4.129698073460938,473.25,15.258329218294683,-10.545863172452137,-7.021677588702136,2.0974408307812578,0.029801424254481804,0.22420337511752014,-0.44760600933278494,4,-4.129698073460938,473.25,15.258329218294683,-10.545863172452137,-7.021677588702136,2.0974408307812578,0.029801424254481804,0.22420337511752014,-0.44760600933278494,4
0,0.701,1.4265335235378032,512.0,lj-n12m6,1,1.0,-7.961538730270831,486.0,0.17898732580599974,-0.17837046591890027,-0.0008680615650034161,706.1871062742495,0.00034958462071484325,4.3711264434315064e-05,-0.004849848273792344,4,-7.961538730270831,486.0,0.17898732580599974,-0.17837046591890027,-0.0008680615650034161,706.1871062742495,0.00034958462071484325,4.3711264434315064e-05,-0.004849848273792344,4
0,0.702,1.4245014245014247,512.0,lj-n12m6,0,1.0,-4.123350592876953,473.0,15.368416579975843,-10.615583672478776,-7.083719792849943,2.014623937615244,0.03001643863276532,0.22719251009797048,-0.44991930375359956,4,-4.123350592876953,473.0,15.368416579975843,-10.615583672478776,-7.083719792849943,2.014623937615244,0.03001643863276532,0.22719251009797048,-0.44991930375359956,4
0,0.702,1.4245014245014247,512.0,lj-n12m6,1,1.0,-7.942190327257247,486.0,0.18250549507402944,-0.18186574758398943,-0.0008993320900969862,702.9922929115218,0.00035645604506646375,4.5508665583767224e-05,-0.004927697585827741,4,-7.942190327257247,486.0,0.18250549507402944,-0.18186574758398943,-0.0008993320900969862,702.9922929115218,0.00035645604506646375,4.5508665583767224e-05,-0.004927697585827741,4
0,0.703,1.4224751066856332,512.0,lj-n12m6,0,1.0,-4.116934748123047,473.0,15.485330915711844,-10.687357085828154,-7.153872327548738,1.931747805386716,0.030244786944749694,0.23034373862996577,-0.45257361273208435,4,-4.116934748123047,473.0,15.485330915711844,-10.687357085828154,-7.153872327548738,1.931747805386716,0.030244786944749694,0.23034373862996577,-0.45257361273208435,4
0,0.703,1.4224751066856332,512.0,lj-n12m6,1,1.0,-7.922899767728271,486.0,0.18608241637895312,-0.18541900354221674,-0.0009316677813814925,699.8058128129385,0.0003634422194901428,4.737454399795578e-05,-0.0050067469277699644,4,-7.922899767728271,486.0,0.18608241637895312,-0.18541900354221674,-0.0009316677813814925,699.8058128129385,0.0003634422194901428,4.737454399795578e-05,-0.0050067469277699644,4
0,0.704,1.4204545454545456,512.0,lj-n12m6,0,1.0,-4.11051888796875,473.0,15.82665671336082,-10.777444968663078,-7.568488712296781,1.848459491000003,0.03091143889328285,0.23746659656374908,-0.4686794051353549,4,-4.11051888796875,473.0,15.82665671336082,-10.777444968663078,-7.568488712296781,1.848459491000003,0.03091143889328285,0.23746659656374908,-0.4686794051353549,4
0,0.704,1.4204545454545456,512.0,lj-n12m6,1,1.0,-7.903674216984651,486.0,0.18971749125067136,-0.18902962162250647,-0.000965088861074961,696.6310050465545,0.0003705419750989675,4.931056926240115e-05,-0.005086977981284855,4,-7.903674216984651,486.0,0.18971749125067136,-0.18902962162250647,-0.000965088861074961,696.6310050465545,0.0003705419750989675,4.931056926240115e-05,-0.005086977981284855,4
0,0.705,1.4184397163120568,512.0,lj-n12m6,0,1.0,-4.1041202474902345,472.75,15.9529842673367,-10.851804280377031,-7.6487250748696445,1.7651845530371126,0.03115817239714199,0.24090293043697764,-0.47157322338837243,4,-4.1041202474902345,472.75,15.9529842673367,-10.851804280377031,-7.6487250748696445,1.7651845530371126,0.03115817239714199,0.24090293043697764,-0.47157322338837243,4
0,0.705,1.4184397163120568,512.0,lj-n12m6,1,1.0,-7.884479144819434,486.0,0.1934181555023778,-0.19270496465589632,-0.0009996939258757685,693.4551897458505,0.0003777698349655816,5.1322684427330614e-05,-0.005168562464716881,4,-7.884479144819434,486.0,0.1934181555023778,-0.19270496465589632,-0.0009996939258757685,693.4551897458505,0.0003777698349655816,5.1322684427330614e-05,-0.005168562464716881,4
0,0.706,1.41643059490085,512.0,lj-n12m6,0,1.0,-4.097582878007813,472.75,16.09052762804928,-10.929554128834507,-7.742695662817966,1.682436894687509,0.03142681177353375,0.24460859941196425,-0.4749751500392671,4,-4.097582878007813,472.75,16.09052762804928,-10.929554128834507,-7.742695662817966,1.682436894687509,0.03142681177353375,0.24460859941196425,-0.4749751500392671,4
