efac,spinodal,lnz_0,phase,temp,volume,run,system,beta,edge_distance,ntot,betaOmega,PE,dw
1.0,0,-4.08465152175,0,0.701,512.0,2,lj-n12m6,1.4265335235378032,472.0,16.657713231378892,-11.223269414742587,-8.219966669417285,1.000000000000007
1.0,0,-4.08465152175,1,0.701,512.0,2,lj-n12m6,1.4265335235378032,20.0,465.19212886806685,-972.257933595961,-3011.532576920798,962.587346695
1.0,1,-7.966853196749998,0,0.701,512.0,2,lj-n12m6,1.4265335235378032,486.0,0.1789496975604159,-0.17833404169997,-0.0008676914808067328,706.3414870089995
1.0,1,-7.966853196749998,1,0.701,512.0,2,lj-n12m6,1.4265335235378032,114.0,369.18663629423725,702.0624887486587,-1943.5298434349165,1.0000000000001137
1.0,0,-4.274987792968751,0,0.701,512.0,3,lj-n12m6,1.4265335235378032,477.0,11.062292250058839,-8.51354170000524,-3.4333361268419393,5.389763323125031
1.0,0,-4.274987792968751,1,0.701,512.0,3,lj-n12m6,1.4265335235378032,23.0,462.62398817570386,-879.4960644854251,-2983.0205351997206,876.5428300953117
1.0,1,-7.957036603333331,0,0.701,512.0,3,lj-n12m6,1.4265335235378032,486.0,0.17889446583832155,-0.17827692278037707,-0.0008675964560160909,706.3679140829993
1.0,1,-7.957036603333331,1,0.701,512.0,3,lj-n12m6,1.4265335235378032,114.0,369.19533467967733,702.0854486864162,-1943.6677464328554,1.0
1.0,0,-4.0745500381249995,0,0.701,512.0,4,lj-n12m6,1.4265335235378032,472.0,16.65885234277884,-11.224600488617437,-8.21853829011827,0.9999999999999964
1.0,0,-4.0745500381249995,1,0.701,512.0,4,lj-n12m6,1.4265335235378032,21.0,465.16148464709835,-972.6116551250599,-3011.198816736195,962.9537806456252
1.0,1,-7.956547568749995,0,0.701,512.0,4,lj-n12m6,1.4265335235378032,486.0,0.17899378586112266,-0.1783771682762824,-0.0008672085960976484,706.1535942399983
1.0,1,-7.956547568749995,1,0.701,512.0,4,lj-n12m6,1.4265335235378032,114.0,369.17258075524535,701.8792173627781,-1943.4503147170992,1.0000000000001137
1.0,0,-4.0814722273749995,0,0.702,512.0,1,lj-n12m6,1.4245014245014247,472.0,16.690991133701743,-11.257541701722854,-8.218247048376124,1.0
1.0,0,-4.0814722273749995,1,0.702,512.0,1,lj-n12m6,1.4245014245014247,21.0,464.9843093207739,-967.9287541547625,-3008.5817918264656,958.2313228968751
1.0,1,-7.946356676333333,0,0.702,512.0,1,lj-n12m6,1.4245014245014247,486.0,0.18263423509869142,-0.18199367703566835,-0.0009011024129258998,702.686451756
1.0,1,-7.946356676333333,1,0.702,512.0,1,lj-n12m6,1.4245014245014247,114.0,369.1540579080212,698.4043522327595,-1942.874478010615,1.0
1.0,0,-4.081521365875,0,0.702,512.0,2,lj-n12m6,1.4245014245014247,472.0,16.69421525971871,-11.258760483839037,-8.223315095323812,0.9999999999999929
1.0,0,-4.081521365875,1,0.702,512.0,2,lj-n12m6,1.4245014245014247,21.0,464.9458263635067,-967.597369137601,-3008.168029901502,957.8852149543752
1.0,1,-7.947512873130433,0,0.702,512.0,2,lj-n12m6,1.4245014245014247,486.0,0.18246556551246754,-0.1818270796969861,-0.0008989330797806682,703.1494917873907
1.0,1,-7.947512873130433,1,0.702,512.0,2,lj-n12m6,1.4245014245014247,115.0,369.05561598834635,698.8712677408489,-1941.8145488915304,1.0
1.0,0,-4.258987426757814,0,0.702,512.0,3,lj-n12m6,1.4245014245014247,476.0,11.393127795977389,-8.68595306775854,-3.67144995164096,5.058495750460972
1.0,0,-4.258987426757814,1,0.702,512.0,3,lj-n12m6,1.4245014245014247,23.0,462.538720903217,-880.8375107543332,-2981.445526426458,877.3978279971712
1.0,1,-7.937720525565221,0,0.702,512.0,3,lj-n12m6,1.4245014245014247,486.0,0.18240493565602706,-0.1817645269052803,-0.0008987949819055151,703.1844480286968
1.0,1,-7.937720525565221,1,0.702,512.0,3,lj-n12m6,1.4245014245014247,115.0,369.0625822915315,698.9031577364979,-1941.935250492373,0.9999999999998863
1.0,0,-4.071421351500001,0,0.702,512.0,4,lj-n12m6,1.4245014245014247,472.0,16.695332130505534,-11.260079436594673,-8.221867076058876,1.0000000000000107
1.0,0,-4.071421351500001,1,0.702,512.0,4,lj-n12m6,1.4245014245014247,21.0,464.9204035618394,-967.9510893046877,-3007.8922862220757,958.2592916374999
1.0,1,-7.937171233999999,0,0.702,512.0,4,lj-n12m6,1.4245014245014247,486.0,0.18251724402893174,-0.18187770669802303,-0.0008984978857758616,702.9487800739996
1.0,1,-7.937171233999999,1,0.702,512.0,4,lj-n12m6,1.4245014245014247,114.0,369.0462286984524,698.6746867983603,-1941.7823986781923,1.0
1.0,0,-4.0783712375,0,0.703,512.0,1,lj-n12m6,1.4224751066856332,472.0,16.726824562118143,-11.29269998396617,-8.221151335382983,1.0000000000000036
1.0,0,-4.0783712375,1,0.703,512.0,1,lj-n12m6,1.4224751066856332,21.0,464.7427758913836,-963.2772806075766,-3005.268792411006,953.5425347725
1.0,1,-7.9270522949999975,0,0.703,512.0,1,lj-n12m6,1.4224751066856332,486.0,0.1862161975521965,-0.18555192281228172,-0.0009335256413967039,699.4954136959991
1.0,1,-7.9270522949999975,1,0.703,512.0,1,lj-n12m6,1.4224751066856332,115.0,368.73873867340785,695.2007360208928,-1938.4428182940596,1.0
1.0,0,-4.078420900375001,0,0.703,512.0,2,lj-n12m6,1.4224751066856332,472.0,16.730019472532202,-11.29390954022043,-8.226189888582603,1.0000000000000036
1.0,0,-4.078420900375001,1,0.703,512.0,2,lj-n12m6,1.4224751066856332,22.0,464.6989130440622,-962.9464770420094,-3004.7977910004547,953.1970418112498
1.0,1,-7.928243439043481,0,0.703,512.0,2,lj-n12m6,1.4224751066856332,486.0,0.18603760888865517,-0.18537553562586165,-0.0009312146233158357,699.9704814141312
1.0,1,-7.928243439043481,1,0.703,512.0,2,lj-n12m6,1.4224751066856332,115.0,368.6374203298029,695.6802353431817,-1937.3554720491225,1.0
1.0,0,-4.242623901367187,0,0.703,512.0,3,lj-n12m6,1.4224751066856332,476.0,11.753365545364664,-8.867602682332329,-3.9434254131435855,4.726991221546868
1.0,0,-4.242623901367187,1,0.703,512.0,3,lj-n12m6,1.4224751066856332,24.0,462.4589029406756,-882.366246701826,-2979.9323744766657,878.4367415215783
1.0,1,-7.918451254000003,0,0.703,512.0,3,lj-n12m6,1.4224751066856332,486.0,0.18597602030120508,-0.18531195571538644,-0.0009310740520574478,700.0053718380011
1.0,1,-7.918451254000003,1,0.703,512.0,3,lj-n12m6,1.4224751066856332,115.0,368.64589009763915,695.711990574772,-1937.4919900322802,1.0
1.0,0,-4.068322953249999,0,0.703,512.0,4,lj-n12m6,1.4224751066856332,472.0,16.731114082832363,-11.295216136793684,-8.224722673085783,0.9999999999999893
1.0,0,-4.068322953249999,1,0.703,512.0,4,lj-n12m6,1.4224751066856332,22.0,464.6790735243303,-963.3000605957963,-3004.584426261004,953.5754025475002
1.0,1,-7.917852082869604,0,0.703,512.0,4,lj-n12m6,1.4224751066856332,486.0,0.18609983877375574,-0.1854366000153371,-0.0009308568087559824,699.7519843036225
1.0,1,-7.917852082869604,1,0.703,512.0,4,lj-n12m6,1.4224751066856332,115.0,368.9207279122093,695.4788777709747,-1940.1250924340316,0.9999999999990905
1.0,0,-4.075299462125001,0,0.704,512.0,1,lj-n12m6,1.4204545454545456,472.0,17.06197538141851,-11.350443561319628,-8.688479648612603,1.000000000000007
1.0,0,-4.075299462125001,1,0.704,512.0,1,lj-n12m6,1.4204545454545456,22.0,464.50068675651556,-958.6354715966473,-3001.9510865138845,948.8625687537498
1.0,1,-7.907930179416662,0,0.704,512.0,1,lj-n12m6,1.4204545454545456,486.0,0.1898339553761693,-0.18914533293569982,-0.0009668224288477286,696.3593831815817
1.0,1,-7.907930179416662,1,0.704,512.0,1,lj-n12m6,1.4204545454545456,115.0,368.599493424641,692.0659242585363,-1936.6416697596292,1.0000000000001137
1.0,0,-4.0753496165,0,0.704,512.0,2,lj-n12m6,1.4204545454545456,472.0,17.064961944139803,-11.3516358160697,-8.693163173959258,0.9999999999999964
1.0,0,-4.0753496165,1,0.704,512.0,2,lj-n12m6,1.4204545454545456,22.0,464.45142516144637,-958.3054142227506,-3001.4222536495145,948.532954495
1.0,1,-7.908988817913045,0,0.704,512.0,2,lj-n12m6,1.4204545454545456,486.0,0.1896771429342803,-0.18899062579109172,-0.000964669181245016,696.7850297787396
1.0,1,-7.908988817913045,1,0.704,512.0,2,lj-n12m6,1.4204545454545456,115.0,368.51220540002964,692.4963332126434,-1935.6977528430134,0.9999999999998863
1.0,0,-4.226171875,0,0.704,512.0,3,lj-n12m6,1.4204545454545456,476.0,12.11372007089002,-9.054773784136533,-4.200870728390159,4.393837964000008
1.0,0,-4.226171875,1,0.704,512.0,3,lj-n12m6,1.4204545454545456,24.0,462.38102574786524,-883.955214694161,-2978.441898827034,879.5348918659998
1.0,1,-7.899197366869572,0,0.704,512.0,3,lj-n12m6,1.4204545454545456,486.0,0.189614642175319,-0.18892606253692967,-0.0009645268292268561,696.8197478256112
1.0,1,-7.899197366869572,1,0.704,512.0,3,lj-n12m6,1.4204545454545456,115.0,368.5214130661123,692.5278083271378,-1935.8420762445458,1.0
1.0,0,-4.06525459825,0,0.704,512.0,4,lj-n12m6,1.4204545454545456,472.0,17.065969456994942,-11.35292671312645,-8.691441298225104,1.0
1.0,0,-4.06525459825,1,0.704,512.0,4,lj-n12m6,1.4204545454545456,22.0,464.4375116381651,-958.6587079564783,-3001.275434876736,948.9108084475
1.0,1,-7.898580503739327,0,0.704,512.0,4,lj-n12m6,1.4204545454545456,486.0,0.1897442245169168,-0.18905646522630468,-0.0009643370049802435,696.5598594002856
1.0,1,-7.898580503739327,1,0.704,512.0,4,lj-n12m6,1.4204545454545456,115.0,368.5107270107343,692.2743427072559,-1935.7444656108532,0.9999999999954525
1.0,0,-4.072256400500001,0,0.705,512.0,1,lj-n12m6,1.4184397163120568,472.0,17.09540751312731,-11.38491091564103,-8.686241394181346,1.0000000000000036
1.0,0,-4.072256400500001,1,0.705,512.0,1,lj-n12m6,1.4184397163120568,22.0,464.25801519826996,-954.0034639365949,-2998.62834634157,944.2040471849998
1.0,1,-7.88883947925,0,0.705,512.0,1,lj-n12m6,1.4184397163120568,486.0,0.19351627986774989,-0.19280245645887642,-0.0010012884879329023,693.2231212897498
1.0,1,-7.88883947925,1,0.705,512.0,1,lj-n12m6,1.4184397163120568,115.0,368.4636440008648,688.9306219605685,-1934.8770711052334,1.0
1.0,0,-4.072307015125,0,0.705,512.0,2,lj-n12m6,1.4184397163120568,472.0,17.098366843223054,-11.386094422399996,-8.690901078705867,1.000000000000007
1.0,0,-4.072307015125,1,0.705,512.0,2,lj-n12m6,1.4184397163120568,22.0,464.2034005032001,-953.6743312323298,-2998.0418347612817,943.8744000237497
1.0,1,-7.8897505611305,0,0.705,512.0,2,lj-n12m6,1.4184397163120568,486.0,0.1933850965946689,-0.19267325079544384,-0.0009993364431280694,693.593764354414
1.0,1,-7.8897505611305,1,0.705,512.0,2,lj-n12m6,1.4184397163120568,115.0,368.3917365120472,689.3064338492936,-1934.0902982403484,0.9999999999984084
1.0,0,-4.2097015380859375,0,0.705,512.0,3,lj-n12m6,1.4184397163120568,475.0,12.518810591955273,-9.248839279780707,-4.5285980605997285,4.060738212148436
1.0,0,-4.2097015380859375,1,0.705,512.0,3,lj-n12m6,1.4184397163120568,24.0,462.30419363380975,-885.5719659616931,-2976.964080934015,880.6587030773906
1.0,1,-7.879999665636364,0,0.705,512.0,3,lj-n12m6,1.4184397163120568,486.0,0.19331414000756586,-0.19260021370162725,-0.00099911913935339,693.6417750664544
1.0,1,-7.879999665636364,1,0.705,512.0,3,lj-n12m6,1.4184397163120568,116.0,368.39775221862544,689.3518923797445,-1934.2025634423562,0.9999999999998863
1.0,0,-4.062216036250001,0,0.705,512.0,4,lj-n12m6,1.4184397163120568,472.0,17.099352121041164,-11.387372503686397,-8.689159765991636,1.0000000000000036
