binodal,lnz_0,phase,temp,volume,run,system,beta,edge_distance,ntot,betaOmega,PE
0,-6.257357812999813,0,0.7,512.0,1,lj-n12m6,1.4285714285714286,486.0,1.0214595089385634,-1.0012600135271275,-0.025553237372703548
0,-6.257357812999813,1,0.7,512.0,1,lj-n12m6,1.4285714285714286,54.0,431.8183137786854,-1.001260013527229,-2634.1585388268895
0,-6.2570920690002785,0,0.7,512.0,2,lj-n12m6,1.4285714285714286,486.0,1.0219411205504185,-1.001753565332793,-0.025566254671416946
0,-6.2570920690002785,1,0.7,512.0,2,lj-n12m6,1.4285714285714286,54.0,431.80882264116565,-1.0017535653326632,-2633.9939108881244
0,-6.247211380000441,0,0.7,512.0,3,lj-n12m6,1.4285714285714286,486.0,1.0217338065704533,-1.0015306964257746,-0.02556347766682624
0,-6.247211380000441,1,0.7,512.0,3,lj-n12m6,1.4285714285714286,54.0,431.81639175824415,-1.0015306964256452,-2634.1398450516026
0,-6.247159521999368,0,0.7,512.0,4,lj-n12m6,1.4285714285714286,486.0,1.0218532791565373,-1.0016412327239443,-0.025550725472576308
0,-6.247159521999368,1,0.7,512.0,4,lj-n12m6,1.4285714285714286,54.0,431.8571855894795,-1.0016412327241029,-2634.5922519358264
0,-6.244900591001027,0,0.701,512.0,1,lj-n12m6,1.4265335235378032,486.0,1.0346886020551325,-1.014014069030332,-0.02617896569555113
0,-6.244900591001027,1,0.701,512.0,1,lj-n12m6,1.4265335235378032,54.0,431.6038060415803,-1.0140140690302921,-2631.2149400611643
0,-6.244635343000155,0,0.701,512.0,2,lj-n12m6,1.4265335235378032,486.0,1.035175476491835,-1.0145131153760607,-0.026192400231418573
0,-6.244635343000155,1,0.701,512.0,2,lj-n12m6,1.4265335235378032,54.0,431.59367865939157,-1.014513115375937,-2631.045214682915
0,-6.234754259999833,0,0.701,512.0,3,lj-n12m6,1.4265335235378032,486.0,1.034965941909182,-1.0142881164224762,-0.026189471651167383
0,-6.234754259999833,1,0.701,512.0,3,lj-n12m6,1.4265335235378032,54.0,431.5999044371359,-1.014288116422434,-2631.174497110966
0,-6.234701470000748,0,0.701,512.0,4,lj-n12m6,1.4265335235378032,486.0,1.0350886270276765,-1.0144011442341214,-0.026176727323334543
0,-6.234701470000748,1,0.701,512.0,4,lj-n12m6,1.4265335235378032,54.0,431.63820061118906,-1.0144011442341945,-2631.598036934503
0,-6.232486172999841,0,0.702,512.0,1,lj-n12m6,1.4245014245014247,485.0,1.0480471607978552,-1.026888023397074,-0.02681809273894149
0,-6.232486172999841,1,0.702,512.0,1,lj-n12m6,1.4245014245014247,55.0,431.3892768377457,-1.0268880233971098,-2628.273130167765
0,-6.23222144400012,0,0.702,512.0,2,lj-n12m6,1.4245014245014247,485.0,1.0485393016956195,-1.027392569409575,-0.026831955771465563
0,-6.23222144400012,1,0.702,512.0,2,lj-n12m6,1.4245014245014247,54.0,431.37833739734253,-1.0273925694093986,-2628.0962967630103
0,-6.222340305999899,0,0.702,512.0,3,lj-n12m6,1.4245014245014247,485.0,1.0483274906328588,-1.027165399517366,-0.02682886650669019
0,-6.222340305999899,1,0.702,512.0,3,lj-n12m6,1.4245014245014247,54.0,431.3833919845578,-1.027165399517232,-2628.2107984836603
0,-6.222286653999447,0,0.702,512.0,4,lj-n12m6,1.4245014245014247,485.0,1.0484533735531867,-1.027280885654028,-0.02681613326895014
0,-6.222286653999447,1,0.702,512.0,4,lj-n12m6,1.4245014245014247,54.0,431.419096410212,-1.0272808856541966,-2628.6045337330775
0,-6.220114354999227,0,0.703,512.0,1,lj-n12m6,1.4224751066856332,485.0,1.0615360120689457,-1.0398825436033783,-0.027470862520803774
0,-6.220114354999227,1,0.703,512.0,1,lj-n12m6,1.4224751066856332,55.0,431.17471575690416,-1.0398825436034977,-2625.3329946915537
0,-6.219850185999278,0,0.703,512.0,2,lj-n12m6,1.4224751066856332,485.0,1.0620333923161114,-1.040392564715747,-0.027485163946918106
0,-6.219850185999278,1,0.703,512.0,2,lj-n12m6,1.4224751066856332,54.0,431.1628066929097,-1.0403925647155636,-2625.1472484817164
0,-6.209969614000129,0,0.703,512.0,3,lj-n12m6,1.4224751066856332,485.0,1.0618192661344175,-1.0401632015228048,-0.027481905328221576
0,-6.209969614000129,1,0.703,512.0,3,lj-n12m6,1.4224751066856332,55.0,431.1668512697952,-1.0401632015229447,-2625.24871646073
0,-6.2099151719991905,0,0.703,512.0,4,lj-n12m6,1.4224751066856332,485.0,1.06194831640626,-1.040281098746249,-0.027469185544662524
0,-6.2099151719991905,1,0.703,512.0,4,lj-n12m6,1.4224751066856332,55.0,431.1998763258466,-1.0402810987461333,-2625.6117876590542
0,-6.207784933999824,0,0.704,512.0,1,lj-n12m6,1.4204545454545456,485.0,1.0751559855424664,-1.0529982974191814,-0.02813752267390241
0,-6.207784933999824,1,0.704,512.0,1,lj-n12m6,1.4204545454545456,55.0,430.96011204679144,-1.0529982974191168,-2622.39441517862
0,-6.207521383999908,0,0.704,512.0,2,lj-n12m6,1.4204545454545456,485.0,1.0756585485549839,-1.0535137425265362,-0.02815227104214477
