phase,temp,beta,volume,system,binodal,lnz_0,edge_distance,ntot,betaOmega,PE,dens,pres,pe_n,size,lnz_0_stderr,edge_distance_stderr,ntot_stderr,betaOmega_stderr,PE_stderr,dens_stderr,pres_stderr,pe_n_stderr,size_stderr
0,0.7,1.4285714285714286,512.0,lj-n12m6,0,-6.252205195999975,486.0,1.021746928803993,-1.0015463770024098,-0.02555842379588076,0.001995599470320299,0.0013990798390154798,-0.025014436903930598,4,-6.252205195999975,486.0,1.021746928803993,-1.0015463770024098,-0.02555842379588076,0.001995599470320299,0.0013990798390154798,-0.025014436903930598,4
0,0.701,1.4265335235378032,512.0,lj-n12m6,0,-6.239747916000441,486.0,1.0349796618709566,-1.0143041112657476,-0.026184391225367906,0.002021444652091712,0.0014373021411384006,-0.025299426137608653,4,-6.239747916000441,486.0,1.0349796618709566,-1.0143041112657476,-0.026184391225367906,0.002021444652091712,0.0014373021411384006,-0.025299426137608653,4
0,0.702,1.4245014245014247,512.0,lj-n12m6,0,-6.227333644249827,485.0,1.04834183166988,-1.0271817194945108,-0.026823762071511846,0.0020475426399802345,0.0014764453033190843,-0.02558684728805148,4,-6.227333644249827,485.0,1.04834183166988,-1.0271817194945108,-0.026823762071511846,0.0020475426399802345,0.0014764453033190843,-0.02558684728805148,4
0,0.703,1.4224751066856332,512.0,lj-n12m6,0,-6.214962331749456,485.0,1.0618342467314337,-1.0401798521470447,-0.027476779335151497,0.0020738950131473314,0.0015165283861523619,-0.02587671258235211,4,-6.214962331749456,485.0,1.0618342467314337,-1.0401798521470447,-0.027476779335151497,0.0020738950131473314,0.0015165283861523619,-0.02587671258235211,4
0,0.704,1.4204545454545456,512.0,lj-n12m6,0,-6.202633919000013,485.0,1.0754577176831057,-1.0532991601896045,-0.028143689583151416,0.002100503354849816,0.0015575707776730942,-0.026169034257729932,4,-6.202633919000013,485.0,1.0754577176831057,-1.0532991601896045,-0.028143689583151416,0.002100503354849816,0.0015575707776730942,-0.026169034257729932,4
0,0.705,1.4184397163120568,512.0,lj-n12m6,0,-6.190348339250127,485.0,1.0892130568863017,-1.066540293941989,-0.028824742983297943,0.002127369251731058,0.0015995921955427655,-0.026463824566058225,4,-6.190348339250127,485.0,1.0892130568863017,-1.066540293941989,-0.028824742983297943,0.002127369251731058,0.0015995921955427655,-0.026463824566058225,4
0,0.706,1.41643059490085,512.0,lj-n12m6,0,-6.1781055175000645,485.0,1.1031010785483333,-1.0799039036820943,-0.02952019334833246,0.0021544942940397134,0.0016426126924730627,-0.026761095775131492,4,-6.1781055175000645,485.0,1.1031010785483333,-1.0799039036820943,-0.02952019334833246,0.0021544942940397134,0.0016426126924730627,-0.026761095775131492,4
0,0.707,1.4144271570014144,512.0,lj-n12m6,0,-6.165905370749943,485.0,1.1171225985984834,-1.0933906392448935,-0.030230298166241638,0.002181880075387663,0.0016866526598713,-0.0270608601627912,4,-6.165905370749943,485.0,1.1171225985984834,-1.0933906392448935,-0.030230298166241638,0.002181880075387663,0.0016866526598713,-0.0270608601627912,4
0,0.708,1.4124293785310735,512.0,lj-n12m6,0,-6.1537478084998884,485.0,1.1312784354441683,-1.1070011512522597,-0.0309553186674493,0.002209528194226891,0.0017317328353597587,-0.027363130022777685,4,-6.1537478084998884,485.0,1.1312784354441683,-1.1070011512522597,-0.0309553186674493,0.002209528194226891,0.0017317328353597587,-0.027363130022777685,4
0,0.709,1.4104372355430184,512.0,lj-n12m6,0,-6.141632733249981,485.0,1.1455694081897294,-1.1207360881593467,-0.0316955198263222,0.0022374402503705653,0.0017778743000210215,-0.02766791767262059,4,-6.141632733249981,485.0,1.1455694081897294,-1.1207360881593467,-0.0316955198263222,0.0022374402503705653,0.0017778743000210215,-0.02766791767262059,4
